Logging to logs\final
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 3.03e+03 |
|    ep_rew_mean     | 372      |
| time/              |          |
|    fps             | 6705     |
|    iterations      | 1        |
|    time_elapsed    | 39       |
|    total_timesteps | 262144   |
| train/             |          |
|    reward          | 1.6      |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.89e+03    |
|    ep_rew_mean          | 479         |
| time/                   |             |
|    fps                  | 3741        |
|    iterations           | 2           |
|    time_elapsed         | 140         |
|    total_timesteps      | 524288      |
| train/                  |             |
|    approx_kl            | 0.002617604 |
|    clip_fraction        | 0.0275      |
|    clip_range           | 0.15        |
|    entropy_loss         | -0.0637     |
|    explained_variance   | 0.432       |
|    learning_rate        | 0.000249    |
|    loss                 | 0.14        |
|    n_updates            | 5800        |
|    policy_gradient_loss | 0.000261    |
|    reward               | 3.4         |
|    value_loss           | 0.288       |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 5.57e+03     |
|    ep_rew_mean          | 687          |
| time/                   |              |
|    fps                  | 3298         |
|    iterations           | 3            |
|    time_elapsed         | 238          |
|    total_timesteps      | 786432       |
| train/                  |              |
|    approx_kl            | 0.0023194358 |
|    clip_fraction        | 0.0258       |
|    clip_range           | 0.149        |
|    entropy_loss         | -0.0579      |
|    explained_variance   | 0.539        |
|    learning_rate        | 0.000249     |
|    loss                 | 0.0337       |
|    n_updates            | 5810         |
|    policy_gradient_loss | 0.000247     |
|    reward               | 1.6          |
|    value_loss           | 0.163        |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 6.91e+03     |
|    ep_rew_mean          | 854          |
| time/                   |              |
|    fps                  | 3113         |
|    iterations           | 4            |
|    time_elapsed         | 336          |
|    total_timesteps      | 1048576      |
| train/                  |              |
|    approx_kl            | 0.0024554797 |
|    clip_fraction        | 0.028        |
|    clip_range           | 0.149        |
|    entropy_loss         | -0.0573      |
|    explained_variance   | 0.572        |
|    learning_rate        | 0.000248     |
|    loss                 | 0.000173     |
|    n_updates            | 5820         |
|    policy_gradient_loss | 0.000356     |
|    reward               | 1.6          |
|    value_loss           | 0.108        |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 7.87e+03     |
|    ep_rew_mean          | 971          |
| time/                   |              |
|    fps                  | 3011         |
|    iterations           | 5            |
|    time_elapsed         | 435          |
|    total_timesteps      | 1310720      |
| train/                  |              |
|    approx_kl            | 0.0024044793 |
|    clip_fraction        | 0.0239       |
|    clip_range           | 0.149        |
|    entropy_loss         | -0.052       |
|    explained_variance   | 0.549        |
|    learning_rate        | 0.000247     |
|    loss                 | 0.111        |
|    n_updates            | 5830         |
|    policy_gradient_loss | 0.00033      |
|    reward               | 2.5          |
|    value_loss           | 0.093        |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 9.68e+03     |
|    ep_rew_mean          | 1.2e+03      |
| time/                   |              |
|    fps                  | 2943         |
|    iterations           | 6            |
|    time_elapsed         | 534          |
|    total_timesteps      | 1572864      |
| train/                  |              |
|    approx_kl            | 0.0020612867 |
|    clip_fraction        | 0.0206       |
|    clip_range           | 0.148        |
|    entropy_loss         | -0.048       |
|    explained_variance   | 0.641        |
|    learning_rate        | 0.000247     |
|    loss                 | 0.00198      |
|    n_updates            | 5840         |
|    policy_gradient_loss | 0.000168     |
|    reward               | 1.6          |
|    value_loss           | 0.0584       |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.22e+04     |
|    ep_rew_mean          | 1.51e+03     |
| time/                   |              |
|    fps                  | 2898         |
|    iterations           | 7            |
|    time_elapsed         | 633          |
|    total_timesteps      | 1835008      |
| train/                  |              |
|    approx_kl            | 0.0020481297 |
|    clip_fraction        | 0.0211       |
|    clip_range           | 0.148        |
|    entropy_loss         | -0.0467      |
|    explained_variance   | 0.598        |
|    learning_rate        | 0.000246     |
|    loss                 | -0.00137     |
|    n_updates            | 5850         |
|    policy_gradient_loss | 0.000209     |
|    reward               | 1.6          |
|    value_loss           | 0.0665       |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.3e+04      |
|    ep_rew_mean          | 1.61e+03     |
| time/                   |              |
|    fps                  | 2867         |
|    iterations           | 8            |
|    time_elapsed         | 731          |
|    total_timesteps      | 2097152      |
| train/                  |              |
|    approx_kl            | 0.0021517663 |
|    clip_fraction        | 0.0208       |
|    clip_range           | 0.148        |
|    entropy_loss         | -0.0445      |
|    explained_variance   | 0.609        |
|    learning_rate        | 0.000245     |
|    loss                 | 0.171        |
|    n_updates            | 5860         |
|    policy_gradient_loss | 0.000608     |
|    reward               | 1.6          |
|    value_loss           | 0.071        |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.52e+04     |
|    ep_rew_mean          | 1.88e+03     |
| time/                   |              |
|    fps                  | 2842         |
|    iterations           | 9            |
|    time_elapsed         | 830          |
|    total_timesteps      | 2359296      |
| train/                  |              |
|    approx_kl            | 0.0017262446 |
|    clip_fraction        | 0.0184       |
|    clip_range           | 0.147        |
|    entropy_loss         | -0.0415      |
|    explained_variance   | 0.704        |
|    learning_rate        | 0.000245     |
|    loss                 | 0.115        |
|    n_updates            | 5870         |
|    policy_gradient_loss | 0.00079      |
|    reward               | 1.6          |
|    value_loss           | 0.0437       |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.63e+04    |
|    ep_rew_mean          | 2.01e+03    |
| time/                   |             |
|    fps                  | 2823        |
|    iterations           | 10          |
|    time_elapsed         | 928         |
|    total_timesteps      | 2621440     |
| train/                  |             |
|    approx_kl            | 0.001955886 |
|    clip_fraction        | 0.0197      |
|    clip_range           | 0.147       |
|    entropy_loss         | -0.0444     |
|    explained_variance   | 0.67        |
|    learning_rate        | 0.000244    |
|    loss                 | 0.029       |
|    n_updates            | 5880        |
|    policy_gradient_loss | 0.000364    |
|    reward               | 1.6         |
|    value_loss           | 0.0399      |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.75e+04     |
|    ep_rew_mean          | 2.17e+03     |
| time/                   |              |
|    fps                  | 2809         |
|    iterations           | 11           |
|    time_elapsed         | 1026         |
|    total_timesteps      | 2883584      |
| train/                  |              |
|    approx_kl            | 0.0013527436 |
|    clip_fraction        | 0.0173       |
|    clip_range           | 0.147        |
|    entropy_loss         | -0.0421      |
|    explained_variance   | 0.796        |
|    learning_rate        | 0.000244     |
|    loss                 | 0.00629      |
|    n_updates            | 5890         |
|    policy_gradient_loss | 0.000575     |
|    reward               | 2.5          |
|    value_loss           | 0.0131       |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 2.09e+04     |
